2026-03-07 00:34:34 [http-nio-0.0.0.0-8080-exec-3] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /buildings/byLandlord | Method: UniNest.Backend.controller.BuildingController.getBuildingsByLandlord
2026-03-07 00:34:34 [http-nio-0.0.0.0-8080-exec-1] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /buildings/byLandlord | Method: UniNest.Backend.controller.BuildingController.getBuildingsByLandlord
2026-03-07 00:34:36 [http-nio-0.0.0.0-8080-exec-1] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.BuildingController.getBuildingsByLandlord completed successfully
2026-03-07 00:34:36 [http-nio-0.0.0.0-8080-exec-3] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.BuildingController.getBuildingsByLandlord completed successfully
2026-03-07 00:35:34 [http-nio-0.0.0.0-8080-exec-5] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /buildings/byLandlord | Method: UniNest.Backend.controller.BuildingController.getBuildingsByLandlord
2026-03-07 00:35:34 [http-nio-0.0.0.0-8080-exec-6] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /buildings/byLandlord | Method: UniNest.Backend.controller.BuildingController.getBuildingsByLandlord
2026-03-07 00:35:35 [http-nio-0.0.0.0-8080-exec-6] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.BuildingController.getBuildingsByLandlord completed successfully
2026-03-07 00:35:35 [http-nio-0.0.0.0-8080-exec-5] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.BuildingController.getBuildingsByLandlord completed successfully
2026-03-07 00:35:38 [http-nio-0.0.0.0-8080-exec-10] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /apartments/getAll | Method: UniNest.Backend.controller.ApartmentController.getAllApartments
2026-03-07 00:35:39 [http-nio-0.0.0.0-8080-exec-10] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for totalRooms found on class UniNest.Backend.model.Apartment
2026-03-07 00:35:39 [http-nio-0.0.0.0-8080-exec-10] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for totalRooms found on class UniNest.Backend.model.Apartment
