2026-03-11 02:45:33 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-11 02:45:33 [main] INFO  UniNest.Backend.BackendApplication - Starting BackendApplication using Java 17.0.4.1 with PID 7364 (C:\Users\richy\Downloads\UNINESTACTUAL\Backend\build\classes\java\main started by richy in C:\Users\richy\Downloads\UNINESTACTUAL\Backend)
2026-03-11 02:45:33 [main] DEBUG UniNest.Backend.BackendApplication - Running with Spring Boot v3.2.7, Spring v6.1.10
2026-03-11 02:45:33 [main] INFO  UniNest.Backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-11 02:45:35 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-03-11 02:45:35 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-0.0.0.0-8080"]
2026-03-11 02:45:35 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-11 02:45:35 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
2026-03-11 02:45:35 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-11 02:45:35 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2227 ms
2026-03-11 02:45:35 [main] DEBUG U.B.security.FirebaseTokenFilter - Filter 'firebaseTokenFilter' configured for use
2026-03-11 02:45:37 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 8b40c884-34d5-4b0a-b479-eeada2578992

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-03-11 02:45:38 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1a06602f, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@46591e98, org.springframework.security.web.context.SecurityContextHolderFilter@af9dd34, org.springframework.security.web.header.HeaderWriterFilter@ba0018e, org.springframework.web.filter.CorsFilter@5b6cc344, org.springframework.security.web.authentication.logout.LogoutFilter@2c15034f, UniNest.Backend.security.FirebaseTokenFilter@3d40a3b4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@151659dd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@13cf5f8a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2110684a, org.springframework.security.web.session.SessionManagementFilter@66048ac4, org.springframework.security.web.access.ExceptionTranslationFilter@670a4738, org.springframework.security.web.access.intercept.AuthorizationFilter@65b73689]
2026-03-11 02:45:38 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-0.0.0.0-8080"]
2026-03-11 02:45:38 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-03-11 02:45:38 [main] INFO  UniNest.Backend.BackendApplication - Started BackendApplication in 6.136 seconds (process running for 6.733)
2026-03-11 02:49:49 [http-nio-0.0.0.0-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-11 02:49:49 [http-nio-0.0.0.0-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-11 02:49:49 [http-nio-0.0.0.0-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 50 ms
2026-03-11 02:49:50 [http-nio-0.0.0.0-8080-exec-1] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /users/roommates/APT-EB7215A | Method: UniNest.Backend.controller.UserController.getRoommates
2026-03-11 02:49:52 [http-nio-0.0.0.0-8080-exec-1] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokensUpdatedAt found on class UniNest.Backend.model.User
2026-03-11 02:49:52 [http-nio-0.0.0.0-8080-exec-1] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokens found on class UniNest.Backend.model.User
2026-03-11 02:49:52 [http-nio-0.0.0.0-8080-exec-1] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.UserController.getRoommates completed successfully
2026-03-11 02:49:52 [http-nio-0.0.0.0-8080-exec-2] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /calendar/getByApartment/APT-EB7215A | Method: UniNest.Backend.controller.CalendarController.getEventsForHouse
2026-03-11 02:49:52 [http-nio-0.0.0.0-8080-exec-2] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.CalendarController.getEventsForHouse completed successfully
2026-03-11 02:50:04 [http-nio-0.0.0.0-8080-exec-3] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /users/roommates/APT-EB7215A | Method: UniNest.Backend.controller.UserController.getRoommates
2026-03-11 02:50:04 [http-nio-0.0.0.0-8080-exec-3] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokensUpdatedAt found on class UniNest.Backend.model.User
2026-03-11 02:50:04 [http-nio-0.0.0.0-8080-exec-3] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokens found on class UniNest.Backend.model.User
2026-03-11 02:50:04 [http-nio-0.0.0.0-8080-exec-3] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.UserController.getRoommates completed successfully
2026-03-11 02:50:04 [http-nio-0.0.0.0-8080-exec-4] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /calendar/getByApartment/APT-EB7215A | Method: UniNest.Backend.controller.CalendarController.getEventsForHouse
2026-03-11 02:50:04 [http-nio-0.0.0.0-8080-exec-5] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /bills/getBills/ZFG30zqKIWccbiTO5DJT0eo2zNt1 | Method: UniNest.Backend.controller.BillController.getBillsByUserId
2026-03-11 02:50:04 [http-nio-0.0.0.0-8080-exec-4] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.CalendarController.getEventsForHouse completed successfully
2026-03-11 02:50:05 [http-nio-0.0.0.0-8080-exec-5] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.BillController.getBillsByUserId completed successfully
2026-03-11 02:50:09 [http-nio-0.0.0.0-8080-exec-6] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /users/roommates/APT-EB7215A | Method: UniNest.Backend.controller.UserController.getRoommates
2026-03-11 02:50:09 [http-nio-0.0.0.0-8080-exec-6] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokensUpdatedAt found on class UniNest.Backend.model.User
2026-03-11 02:50:09 [http-nio-0.0.0.0-8080-exec-6] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokens found on class UniNest.Backend.model.User
2026-03-11 02:50:09 [http-nio-0.0.0.0-8080-exec-6] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.UserController.getRoommates completed successfully
2026-03-11 02:50:32 [http-nio-0.0.0.0-8080-exec-7] INFO  U.Backend.config.LoggingAspect - >>> API REQ: POST /chores/addWithSmartAssign | Method: UniNest.Backend.controller.ChoreController.addChoreWithSmartAssign
2026-03-11 02:50:32 [http-nio-0.0.0.0-8080-exec-7] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokensUpdatedAt found on class UniNest.Backend.model.User
2026-03-11 02:50:32 [http-nio-0.0.0.0-8080-exec-7] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokens found on class UniNest.Backend.model.User
2026-03-11 02:50:33 [http-nio-0.0.0.0-8080-exec-7] INFO  U.B.service.ChoreSchedulingService - >>> AI SCHEDULING: Calculating best assignee for task 'clean kitchen' in house 'APT-EB7215A'
2026-03-11 02:50:33 [http-nio-0.0.0.0-8080-exec-7] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokensUpdatedAt found on class UniNest.Backend.model.User
2026-03-11 02:50:33 [http-nio-0.0.0.0-8080-exec-7] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokens found on class UniNest.Backend.model.User
2026-03-11 02:50:34 [http-nio-0.0.0.0-8080-exec-7] DEBUG U.B.service.ChoreSchedulingService - >>> AI REQ: Sending data to model at https://uninest-ai-service-369284273825.europe-west1.run.app/predict
2026-03-11 02:50:42 [http-nio-0.0.0.0-8080-exec-7] INFO  U.B.service.ChoreSchedulingService - <<< AI RES: Successfully predicted user index 4 with 43.5% confidence
2026-03-11 02:50:43 [http-nio-0.0.0.0-8080-exec-7] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.ChoreController.addChoreWithSmartAssign completed successfully
2026-03-11 02:50:47 [http-nio-0.0.0.0-8080-exec-8] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /users/roommates/APT-EB7215A | Method: UniNest.Backend.controller.UserController.getRoommates
2026-03-11 02:50:47 [http-nio-0.0.0.0-8080-exec-8] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokensUpdatedAt found on class UniNest.Backend.model.User
2026-03-11 02:50:47 [http-nio-0.0.0.0-8080-exec-8] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokens found on class UniNest.Backend.model.User
2026-03-11 02:50:47 [http-nio-0.0.0.0-8080-exec-8] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.UserController.getRoommates completed successfully
2026-03-11 02:50:47 [http-nio-0.0.0.0-8080-exec-9] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /calendar/getByApartment/APT-EB7215A | Method: UniNest.Backend.controller.CalendarController.getEventsForHouse
2026-03-11 02:50:47 [http-nio-0.0.0.0-8080-exec-10] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /bills/getBills/ZFG30zqKIWccbiTO5DJT0eo2zNt1 | Method: UniNest.Backend.controller.BillController.getBillsByUserId
2026-03-11 02:50:47 [http-nio-0.0.0.0-8080-exec-9] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.CalendarController.getEventsForHouse completed successfully
2026-03-11 02:50:47 [http-nio-0.0.0.0-8080-exec-10] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.BillController.getBillsByUserId completed successfully
2026-03-11 02:50:48 [http-nio-0.0.0.0-8080-exec-1] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /users/roommates/APT-EB7215A | Method: UniNest.Backend.controller.UserController.getRoommates
2026-03-11 02:50:49 [http-nio-0.0.0.0-8080-exec-1] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokensUpdatedAt found on class UniNest.Backend.model.User
2026-03-11 02:50:49 [http-nio-0.0.0.0-8080-exec-1] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokens found on class UniNest.Backend.model.User
2026-03-11 02:50:49 [http-nio-0.0.0.0-8080-exec-1] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.UserController.getRoommates completed successfully
2026-03-11 02:50:49 [http-nio-0.0.0.0-8080-exec-2] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /calendar/getByApartment/APT-EB7215A | Method: UniNest.Backend.controller.CalendarController.getEventsForHouse
2026-03-11 02:50:49 [http-nio-0.0.0.0-8080-exec-2] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.CalendarController.getEventsForHouse completed successfully
2026-03-11 02:50:50 [http-nio-0.0.0.0-8080-exec-3] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /users/roommates/APT-EB7215A | Method: UniNest.Backend.controller.UserController.getRoommates
2026-03-11 02:50:50 [http-nio-0.0.0.0-8080-exec-4] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /calendar/getByApartment/APT-EB7215A | Method: UniNest.Backend.controller.CalendarController.getEventsForHouse
2026-03-11 02:50:50 [http-nio-0.0.0.0-8080-exec-3] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokensUpdatedAt found on class UniNest.Backend.model.User
2026-03-11 02:50:50 [http-nio-0.0.0.0-8080-exec-3] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokens found on class UniNest.Backend.model.User
2026-03-11 02:50:50 [http-nio-0.0.0.0-8080-exec-3] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.UserController.getRoommates completed successfully
2026-03-11 02:50:50 [http-nio-0.0.0.0-8080-exec-4] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.CalendarController.getEventsForHouse completed successfully
2026-03-11 02:50:50 [http-nio-0.0.0.0-8080-exec-5] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /calendar/getByApartment/APT-EB7215A | Method: UniNest.Backend.controller.CalendarController.getEventsForHouse
2026-03-11 02:50:50 [http-nio-0.0.0.0-8080-exec-5] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.CalendarController.getEventsForHouse completed successfully
2026-03-11 02:51:09 [http-nio-0.0.0.0-8080-exec-6] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /users/roommates/APT-EB7215A | Method: UniNest.Backend.controller.UserController.getRoommates
2026-03-11 02:51:09 [http-nio-0.0.0.0-8080-exec-6] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokensUpdatedAt found on class UniNest.Backend.model.User
2026-03-11 02:51:09 [http-nio-0.0.0.0-8080-exec-6] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokens found on class UniNest.Backend.model.User
2026-03-11 02:51:09 [http-nio-0.0.0.0-8080-exec-6] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.UserController.getRoommates completed successfully
2026-03-11 02:51:13 [http-nio-0.0.0.0-8080-exec-7] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /calendar/getByApartment/APT-EB7215A | Method: UniNest.Backend.controller.CalendarController.getEventsForHouse
2026-03-11 02:51:13 [http-nio-0.0.0.0-8080-exec-7] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.CalendarController.getEventsForHouse completed successfully
2026-03-11 02:51:19 [http-nio-0.0.0.0-8080-exec-8] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /users/roommates/APT-EB7215A | Method: UniNest.Backend.controller.UserController.getRoommates
2026-03-11 02:51:19 [http-nio-0.0.0.0-8080-exec-9] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /calendar/getByApartment/APT-EB7215A | Method: UniNest.Backend.controller.CalendarController.getEventsForHouse
2026-03-11 02:51:19 [http-nio-0.0.0.0-8080-exec-8] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokensUpdatedAt found on class UniNest.Backend.model.User
2026-03-11 02:51:19 [http-nio-0.0.0.0-8080-exec-8] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokens found on class UniNest.Backend.model.User
2026-03-11 02:51:19 [http-nio-0.0.0.0-8080-exec-8] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.UserController.getRoommates completed successfully
2026-03-11 02:51:19 [http-nio-0.0.0.0-8080-exec-10] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /calendar/getByApartment/APT-EB7215A | Method: UniNest.Backend.controller.CalendarController.getEventsForHouse
2026-03-11 02:51:19 [http-nio-0.0.0.0-8080-exec-9] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.CalendarController.getEventsForHouse completed successfully
2026-03-11 02:51:19 [http-nio-0.0.0.0-8080-exec-10] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.CalendarController.getEventsForHouse completed successfully
2026-03-11 02:51:23 [http-nio-0.0.0.0-8080-exec-2] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /tickets/apartment | Method: UniNest.Backend.controller.TicketController.getTicketsByApartment
2026-03-11 02:51:23 [http-nio-0.0.0.0-8080-exec-1] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /tickets/apartment | Method: UniNest.Backend.controller.TicketController.getTicketsByApartment
2026-03-11 02:51:23 [http-nio-0.0.0.0-8080-exec-1] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.TicketController.getTicketsByApartment completed successfully
2026-03-11 02:51:23 [http-nio-0.0.0.0-8080-exec-2] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.TicketController.getTicketsByApartment completed successfully
2026-03-11 02:51:26 [http-nio-0.0.0.0-8080-exec-3] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /users/roommates/APT-EB7215A | Method: UniNest.Backend.controller.UserController.getRoommates
2026-03-11 02:51:26 [http-nio-0.0.0.0-8080-exec-3] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokensUpdatedAt found on class UniNest.Backend.model.User
2026-03-11 02:51:26 [http-nio-0.0.0.0-8080-exec-3] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokens found on class UniNest.Backend.model.User
2026-03-11 02:51:26 [http-nio-0.0.0.0-8080-exec-3] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.UserController.getRoommates completed successfully
2026-03-11 02:51:26 [http-nio-0.0.0.0-8080-exec-5] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /bills/getBills/ZFG30zqKIWccbiTO5DJT0eo2zNt1 | Method: UniNest.Backend.controller.BillController.getBillsByUserId
2026-03-11 02:51:26 [http-nio-0.0.0.0-8080-exec-4] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /bills/paidHistory/ZFG30zqKIWccbiTO5DJT0eo2zNt1 | Method: UniNest.Backend.controller.BillController.getPaidBills
2026-03-11 02:51:26 [http-nio-0.0.0.0-8080-exec-5] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.BillController.getBillsByUserId completed successfully
2026-03-11 02:51:26 [http-nio-0.0.0.0-8080-exec-4] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.BillController.getPaidBills completed successfully
2026-03-11 02:51:27 [http-nio-0.0.0.0-8080-exec-6] INFO  U.Backend.config.LoggingAspect - >>> API REQ: PATCH /bills/6d5cf800-8597-4fc9-8e18-733d0bed6c23/ZFG30zqKIWccbiTO5DJT0eo2zNt1/pay | Method: UniNest.Backend.controller.BillController.markAsPaid
2026-03-11 02:51:28 [http-nio-0.0.0.0-8080-exec-6] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.BillController.markAsPaid completed successfully
2026-03-11 02:51:28 [http-nio-0.0.0.0-8080-exec-8] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /bills/getBills/ZFG30zqKIWccbiTO5DJT0eo2zNt1 | Method: UniNest.Backend.controller.BillController.getBillsByUserId
2026-03-11 02:51:28 [http-nio-0.0.0.0-8080-exec-7] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /bills/paidHistory/ZFG30zqKIWccbiTO5DJT0eo2zNt1 | Method: UniNest.Backend.controller.BillController.getPaidBills
2026-03-11 02:51:28 [http-nio-0.0.0.0-8080-exec-7] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.BillController.getPaidBills completed successfully
2026-03-11 02:51:28 [http-nio-0.0.0.0-8080-exec-8] INFO  U.Backend.config.LoggingAspect - <<< API RES: Method UniNest.Backend.controller.BillController.getBillsByUserId completed successfully
2026-03-11 02:51:31 [http-nio-0.0.0.0-8080-exec-9] INFO  U.Backend.config.LoggingAspect - >>> API REQ: GET /users/roommates/APT-EB7215A | Method: UniNest.Backend.controller.UserController.getRoommates
2026-03-11 02:51:32 [http-nio-0.0.0.0-8080-exec-9] WARN  c.g.c.firestore.CustomClassMapper - No setter/field for tokensUpdatedAt found on class UniNest.Backend.model.User
