id,task_name,Room,difficulty_score,est_duration_min,assigned_to,frequency_per_week,roommate_preference,availability_mins
1,vacuum,living_room,2,20,1,1,5,60
2,wash_dishes,kitchen,2,15,2,7,4,35
3,take_out_bins,unit,1,5,4,7,3,20
4,clean_toilet,bathroom,2,10,3,2,5,60
5,mop,kitchen,3,20,1,1,4,65
6,wipe_counters,kitchen,1,10,3,7,3,45
7,clean_windows,unit,5,45,2,0.25,5,120
8,deep_clean_fridge,kitchen,5,60,4,0.25,3,60
9,wipe_baseboards,unit,4,60,1,0.25,4,120
10,wipe_window_sills,unit,1,20,1,1,5,30
11,scrub_bathroom_sink,bathroom,2,5,4,1,2,45
12,scrub_kitchen_sink,bathroom,2,5,3,2,5,15
13,mop,bathroom,2,10,2,2,4,25
14,vacuum,hall,2,15,5,1,5,45
15,clean_microwave,kitchen,4,15,4,0.25,3,30
16,wipe_kitchen_table,kitchen,2,5,3,7,3,25
17,clean_oven,kitchen,5,30,2,0.25,5,45
18,descale_kettle,kitchen,1,10,1,0.25,4,30
19,clean_mirror,bathroom,1,5,2,1,4,25
20,clean_shower_drain,bathroom,4,10,4,0.25,3,45
21,take_out_bins,unit,1,5,3,7,2,60
22,clean_toilet,bathroom,3,10,1,2,5,25
23,deep_clean_fridge,kitchen,5,60,1,0.25,2,90
24,clean_oven,kitchen,5,30,4,0.25,4,45
25,scrub_kitchen_sink,kitchen,2,5,2,1,5,15
26,scrub_bathroom_sink,bathroom,2,5,2,1,4,25
27,clean_bathroom_tiles,bathroom,3,45,1,0.25,3,60
28,wipe_baseboards,unit,4,60,4,0.25,5,120
29,wipe_window_sills,unit,2,20,1,1,4,45
30,vacuum,living_room,3,20,2,1,3,30
31,mop,kitchen,2,20,2,1,2,25
32,vacuum,hall,2,20,3,1,4,45
33,clean_shower_drain,bathroom,5,10,3,0.25,3,15
34,wipe_counters,kitchen,1,10,4,7,4,30
35,take_out_bins,unit,1,5,1,7,5,30
36,deep_clean_fridge,kitchen,5,60,3,0.25,3,80
37,wipe_window_sills,unit,2,20,4,1,4,30
38,clean_oven,kitchen,4,60,1,0.25,3,80
39,mop,bathroom,2,20,2,1,4,30
40,wipe_kitchen_table,kitchen,1,5,1,7,5,15
41,clean_windows,unit,2,45,4,0.25,5,60
42,take_out_bins,unit,1,5,1,1,4,25
43,wipe_window_sills,unit,2,20,3,1,3,30
44,mop,bathroom,2,20,2,1,5,25
45,take_out_bins,unit,1,5,4,7,4,25
46,wipe_kitchen_table,kitchen,2,5,1,7,3,30
47,deep_clean_fridge,kitchen,5,60,2,0.25,4,25
48,vacuum,living_room,3,20,3,1,4,60
49,vacuum,hall,3,20,4,1,4,45
50,descale_kettle,kitchen,1,10,2,0.25,5,20
51,take_out_bins,unit,1,5,1,7,3,25
52,clean_toilet,bathroom,3,10,4,1,4,30
53,clean_shower,bathroom,4,20,3,1,4,45
54,wipe_counters,kitchen,1,10,2,7,5,60
55,wipe_baseboards,unit,4,60,1,0.25,3,60
56,mop,bathroom,2,20,2,7,3,25
57,clean_windows,unit,4,60,4,0.25,5,60
58,wash_dishes,kitchen,1,10,3,7,4,20
59,scrub_kitchen_sink,kitchen,2,5,2,1,4,15
60,take_out_bins,unit,1,5,1,7,4,20
61,mop,bathroom,3,20,1,1,3,25
62,vacuum,living_room,3,20,2,1,5,30
63,clean_shower,bathroom,4,30,4,1,2,60
64,clean_microwave,kitchen,2,15,1,1,3,25
65,clean_oven,kitchen,5,30,4,0.25,2,60
66,clean_shower,bathroom,4,30,3,1,5,35
67,wipe_counters,kitchen,1,10,2,7,4,20
68,load_dishwasher,kitchen,2,10,3,7,4,25
69,wash_dishes,kitchen,2,20,4,7,5,30
70,empty_dishwasher,kitchen,2,20,1,7,3,30
71,mop,bathroom,1,20,2,1,5,25
72,clean_toilet,bathroom,3,10,4,1,2,20
73,empty_dishwasher,kitchen,2,20,3,7,3,30
74,clean_oven,kitchen,5,30,1,0.25,4,45
75,load_dishwasher,kitchen,2,20,4,7,5,30
76,scrub_bathroom_sink,bathroom,2,5,2,1,3,25
77,vacuum,living_room,3,20,2,1,4,30
78,clean_shower,bathroom,4,30,3,1,5,40
79,wipe_baseboards,unit,4,60,1,0.25,4,120
80,clean_bathroom,bathroom,5,60,3,1,3,120
81,clean_toilet,bathroom,3,10,2,1,5,30
82,take_out_bins,unit,1,5,3,7,4,20
83,wipe_kitchen_table,kitchen,1,5,4,7,5,15
84,refill_soap_dispensers,bathroom,1,5,2,7,5,10
85,clean_bathroom,bathroom,5,60,2,1,4,120
86,deep_clean_shower,bathroom,5,45,3,0.25,3,90
87,scrub_bathtub,bathroom,4,30,1,1,4,60
88,full_bathroom_deep_clean,bathroom,5,90,1,0.25,5,180
89,clean_kitchen,kitchen,5,60,3,1,4,120
90,deep_clean_kitchen,kitchen,5,120,4,0.25,5,180
91,clean_living_room,living_room,4,45,1,1,4,90
92,deep_clean_living_room,living_room,5,90,3,0.25,5,180
93,clean_bedroom,bedroom,4,45,4,1,4,90
94,deep_clean_bedroom,bedroom,5,90,1,0.25,5,180
95,clean_hallway,hall,3,30,2,1,4,60
96,deep_clean_hallway,hall,4,60,4,0.25,5,120
