TicketID,ApartmentNumber,IssueDescription,Priority,DateReported,Status
1,354,Clogged drain,Low,2025-02-26,Open
2,156,Leaky faucet,Low,2025-01-12,In Progress
3,292,No hot water,Medium,2025-08-12,In Progress
4,358,Heater not working,Medium,2025-11-24,In Progress
5,364,Heater not working,Medium,2025-08-28,In Progress
6,271,No hot water,Low,2025-06-06,In Progress
7,304,Mold in bathroom,Medium,2025-08-02,Open
8,356,Faulty door lock,Low,2025-08-08,Closed
9,243,Painting required,Medium,2025-06-16,In Progress
10,225,Air conditioning not cooling,Low,2025-06-08,In Progress
11,214,Noise complaint,Low,2025-11-20,Open
12,284,Light fixture flickering,Low,2025-09-15,Open
13,226,Pest control,High,2025-12-20,In Progress
14,339,Broken window,Low,2025-12-11,Closed
15,117,Light fixture flickering,High,2025-03-06,Open
16,145,Roof leak,Low,2025-01-09,Closed
17,102,Roof leak,High,2025-01-08,In Progress
18,283,Broken window,Medium,2025-02-27,Open
19,102,Clogged drain,Low,2025-10-22,In Progress
20,256,Garage door malfunction,Low,2025-08-13,Closed
21,222,No hot water,High,2025-06-05,Open
22,273,Painting required,Medium,2025-08-29,Open
23,212,Clogged drain,Medium,2025-05-27,In Progress
24,151,Leaky faucet,Medium,2025-11-16,In Progress
25,162,Pest control,Medium,2025-12-24,Open
26,172,Mold in bathroom,High,2025-10-19,Closed
27,108,Leaky faucet,Low,2025-12-03,Closed
28,295,Leaky faucet,Low,2025-04-26,Closed
29,311,Garage door malfunction,Low,2025-03-08,Closed
30,372,Noise complaint,Low,2025-06-01,Open
31,240,No hot water,Medium,2025-08-29,Open
32,170,Roof leak,Medium,2025-02-08,Closed
33,132,Leaky faucet,Medium,2025-03-15,Closed
34,386,No hot water,Medium,2025-09-24,Open
35,158,Painting required,Low,2025-10-04,Closed
36,337,Leaky faucet,Low,2025-10-24,Closed
37,286,Garage door malfunction,High,2025-10-22,In Progress
38,232,Clogged drain,Medium,2025-06-12,Open
39,137,No hot water,Medium,2025-04-18,Closed
40,135,Pest control,Medium,2025-07-07,Closed
41,134,No hot water,High,2025-03-15,Closed
42,122,Light fixture flickering,Medium,2025-11-10,In Progress
43,156,Air conditioning not cooling,Low,2025-05-13,Closed
44,337,Pest control,Low,2025-01-16,In Progress
45,381,Clogged drain,Low,2025-08-21,In Progress
46,243,Roof leak,High,2025-10-29,Open
47,136,Clogged drain,Medium,2025-12-31,Closed
48,101,Air conditioning not cooling,High,2025-06-24,Closed
49,278,Light fixture flickering,Low,2025-06-04,Closed
50,110,Garage door malfunction,Medium,2025-02-14,In Progress
51,364,Noise complaint,Low,2025-06-20,Open
52,152,Leaky faucet,Low,2025-08-06,Closed
53,156,Clogged drain,Low,2025-02-06,In Progress
54,150,Pest control,Medium,2025-09-01,Open
55,234,No hot water,Low,2025-11-18,In Progress
56,311,No hot water,Low,2025-07-25,Open
57,329,Mold in bathroom,Medium,2025-07-30,In Progress
58,280,No hot water,Low,2025-05-28,Open
59,170,Broken window,Low,2025-03-10,Open
60,146,Light fixture flickering,Medium,2025-04-18,Closed
61,357,Broken window,Medium,2025-01-15,Open
62,121,Roof leak,Low,2025-08-15,In Progress
63,196,Mold in bathroom,Medium,2025-03-01,Closed
64,303,Leaky faucet,Low,2025-07-15,Closed
65,320,Air conditioning not cooling,Medium,2025-01-14,In Progress
66,326,Noise complaint,Low,2025-04-10,In Progress
67,253,Doorbell not working,Low,2025-05-25,In Progress
68,384,Noise complaint,Medium,2025-06-19,Open
69,125,Noise complaint,High,2025-08-16,Closed
70,187,Faulty door lock,Low,2025-03-19,Open
71,246,Leaky faucet,Low,2025-05-24,Open
72,226,Heater not working,Low,2025-01-28,In Progress
73,155,Painting required,Medium,2025-07-09,Closed
74,217,Garage door malfunction,Low,2025-06-19,In Progress
75,198,Broken window,Medium,2025-10-21,Closed
76,224,Pest control,Medium,2025-09-24,Open
77,118,Doorbell not working,Medium,2025-08-13,In Progress
78,291,Roof leak,Low,2025-11-21,Open
79,166,Clogged drain,Medium,2025-01-21,In Progress
80,116,Noise complaint,Medium,2025-04-10,Open
81,216,Garage door malfunction,Low,2025-05-13,Closed
82,359,No hot water,Low,2025-07-01,In Progress
83,360,Clogged drain,Low,2025-02-17,In Progress
84,214,Garage door malfunction,High,2025-08-04,Open
85,161,Broken window,Low,2025-03-31,Closed
86,212,Heater not working,High,2025-05-24,Open
87,237,Pest control,Low,2025-05-13,Open
88,252,Broken window,Low,2025-07-08,Closed
89,180,Broken window,Medium,2025-06-13,Closed
90,361,Mold in bathroom,Low,2025-06-11,In Progress
91,105,Painting required,Low,2025-03-24,Closed
92,128,Roof leak,High,2025-05-05,In Progress
93,252,Broken window,Low,2025-08-12,Closed
